SmartGuard 🛡
2026-08-17 19:51:54 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 19:52:24 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 20:12:16 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 20:12:16 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 20:12:16 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 20:12:16 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 20:36:46 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 20:36:46 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 20:36:46 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 20:36:46 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 20:37:56 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 20:37:56 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 20:37:56 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 20:37:56 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 20:38:29 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 20:38:29 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 20:38:29 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 20:38:29 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 20:41:27 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 20:41:27 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 20:41:27 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 20:41:27 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 20:46:09 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 20:47:43 | INFO    | Alerts     | 🟠 Security Alert — Medium Risk
━━━━━━━━━━━━━━━━━━━━
🕐 Time: 08:47:43 PM
📍 Location: Observation Area
📊 Risk Score: 74 / 100
━━━━━━━━━━━━━━━━━━━━
SmartGuard 🛡
2026-08-17 20:48:16 | INFO    | Alerts     | 🔴 Security Alert — High Risk
━━━━━━━━━━━━━━━━━━━━
🕐 Time: 08:48:16 PM
📍 Location: Restricted Area
📊 Risk Score: 100 / 100
━━━━━━━━━━━━━━━━━━━━
👁 What is happening:
  • Person is entered a restricted area
━━━━━━━━━━━━━━━━━━━━
SmartGuard 🛡
2026-08-17 20:48:26 | INFO    | Alerts     | 🔴 Security Alert — High Risk
━━━━━━━━━━━━━━━━━━━━
🕐 Time: 08:48:26 PM
📍 Location: Observation Area
📊 Risk Score: 82 / 100
━━━━━━━━━━━━━━━━━━━━
SmartGuard 🛡
2026-08-17 20:48:32 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 20:49:02 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 20:49:19 | INFO    | Alerts     | 🟠 Security Alert — Medium Risk
━━━━━━━━━━━━━━━━━━━━
🕐 Time: 08:49:19 PM
📍 Location: Observation Area
📊 Risk Score: 64 / 100
━━━━━━━━━━━━━━━━━━━━
SmartGuard 🛡
2026-08-17 20:58:43 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 20:58:43 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 20:58:43 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 20:58:43 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 21:27:12 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-21 23:54:36 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 00:51:42 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 00:51:42 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 00:51:42 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 00:51:42 | WARNING | Alerts     | Camera tamper detected!
2026-08-22 00:55:02 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 00:55:02 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 00:55:02 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 00:55:02 | WARNING | Alerts     | Camera tamper detected!
2026-08-22 01:09:21 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 01:09:21 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 01:09:21 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 01:09:21 | WARNING | Alerts     | Camera tamper detected!
2026-08-22 01:11:48 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 01:11:48 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 01:11:48 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 01:11:48 | WARNING | Alerts     | Camera tamper detected!
2026-08-22 01:21:21 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 01:24:42 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 01:30:23 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 01:30:23 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 01:30:23 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 01:30:23 | WARNING | Alerts     | Camera tamper detected!
2026-08-22 01:31:49 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 01:43:20 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 01:43:20 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 01:43:20 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 01:43:20 | WARNING | Alerts     | Camera tamper detected!
2026-08-22 01:45:02 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 01:46:02 | WARNING | Alerts     | Camera tamper detected!
2026-08-22 01:46:05 | INFO    | Alerts     | 🟠 Security Alert — Medium Risk
━━━━━━━━━━━━━━━━━━━━
🕐 Time: 01:46:05 AM
📍 Location: Observation Area
📊 Risk Score: 66 / 100
━━━━━━━━━━━━━━━━━━━━
SmartGuard 🛡
2026-08-22 01:46:45 | INFO    | Alerts     | 🟠 Security Alert — Medium Risk
━━━━━━━━━━━━━━━━━━━━
🕐 Time: 01:46:45 AM
📍 Location: Restricted Area
📊 Risk Score: 60 / 100
━━━━━━━━━━━━━━━━━━━━
👁 What is happening:
  • Person is entered a restricted area
━━━━━━━━━━━━━━━━━━━━
SmartGuard 🛡
2026-08-22 01:47:11 | INFO    | Alerts     | 🟠 Security Alert — Medium Risk
━━━━━━━━━━━━━━━━━━━━
🕐 Time: 01:47:11 AM
📍 Location: Restricted Area
📊 Risk Score: 60 / 100
━━━━━━━━━━━━━━━━━━━━
👁 What is happening:
  • Person is entered a restricted area
━━━━━━━━━━━━━━━━━━━━
SmartGuard 🛡
2026-08-22 02:36:54 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 02:36:54 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 02:36:54 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 02:36:54 | WARNING | Alerts     | Camera tamper detected!
2026-08-22 02:38:09 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 02:42:36 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 02:47:20 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 02:53:03 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 02:54:52 | INFO    | Alerts     | 🟠 Security Alert — Medium Risk
━━━━━━━━━━━━━━━━━━━━
🕐 Time: 02:54:52 AM
📍 Location: Restricted Area
📊 Risk Score: 60 / 100
━━━━━━━━━━━━━━━━━━━━
👁 What is happening:
  • Person is entered a restricted area
